"ensembl_gene_id"	"Ctrl1"	"Ctrl2"	"Ctrl3"	"Scr1"	"Scr2"	"Scr3"
"ENSMUSG00000002881"	65	85	64	71	53	68
"ENSMUSG00000002885"	61	109	33	66	54	63
"ENSMUSG00000002897"	18	37	17	25	39	20
"ENSMUSG00000002900"	108	186	98	141	67	122
"ENSMUSG00000002908"	6	3	2	3	3	1
"ENSMUSG00000002910"	6	9	3	6	5	7
"ENSMUSG00000002930"	13	1	0	4	4	1
"ENSMUSG00000002944"	10	10	8	11	6	5
"ENSMUSG00000002948"	83	78	68	83	76	62
"ENSMUSG00000002949"	644	641	443	483	435	446
"ENSMUSG00000002957"	201	243	174	148	226	161
"ENSMUSG00000002963"	129	183	120	170	114	135
"ENSMUSG00000002968"	186	293	156	284	184	173
"ENSMUSG00000002980"	47	28	22	27	28	31
"ENSMUSG00000002981"	289	328	163	277	264	242
"ENSMUSG00000002983"	30	24	21	19	49	20
"ENSMUSG00000002984"	246	512	203	403	173	361
"ENSMUSG00000002985"	4994	214	608	575	10744	337
"ENSMUSG00000002996"	449	183	367	176	466	148
"ENSMUSG00000002997"	8	19	12	11	8	17
"ENSMUSG00000003031"	326	367	356	256	433	204
"ENSMUSG00000003032"	35	7	23	13	11	8
"ENSMUSG00000003033"	574	646	539	662	513	546
"ENSMUSG00000003037"	572	647	540	595	518	539
"ENSMUSG00000003038"	10936	13012	11359	11978	9516	11374
"ENSMUSG00000003039"	1320	1400	1491	1152	1536	1026
"ENSMUSG00000003062"	1121	740	550	703	642	725
"ENSMUSG00000003068"	75	73	61	81	106	75
"ENSMUSG00000003070"	16	32	44	19	34	33
"ENSMUSG00000003072"	4848	5987	4978	5016	4777	5165
"ENSMUSG00000003099"	873	1128	607	1080	712	856
"ENSMUSG00000003119"	192	241	151	213	238	211
"ENSMUSG00000003123"	95	59	66	44	80	45
"ENSMUSG00000003131"	548	747	407	604	491	560
"ENSMUSG00000003134"	26	15	22	21	19	18
"ENSMUSG00000003135"	96	79	54	92	90	51
"ENSMUSG00000003153"	116	92	112	53	101	106
"ENSMUSG00000003154"	138	124	90	97	144	125
"ENSMUSG00000003161"	1887	1606	1248	1312	1275	1167
"ENSMUSG00000003166"	241	277	151	235	228	156
"ENSMUSG00000003184"	157	251	201	199	160	182
"ENSMUSG00000003190"	273	352	255	261	179	233
"ENSMUSG00000003198"	54	50	47	39	47	33
"ENSMUSG00000003199"	388	347	314	354	325	266
"ENSMUSG00000003200"	269	358	206	308	228	274
"ENSMUSG00000003206"	2	1	1	3	5	0
"ENSMUSG00000003208"	124	222	139	170	130	125
"ENSMUSG00000003226"	96	153	101	69	90	78
"ENSMUSG00000003227"	0	6	4	2	1	2
"ENSMUSG00000003228"	22	21	18	16	25	27
"ENSMUSG00000003233"	429	306	371	316	563	285
"ENSMUSG00000003234"	182	174	127	185	180	169
"ENSMUSG00000003235"	139	147	87	134	122	74
"ENSMUSG00000003269"	327	465	290	400	273	376
"ENSMUSG00000003271"	4	2	9	2	8	0
"ENSMUSG00000003273"	101	95	110	96	113	49
"ENSMUSG00000003279"	9	26	2	10	16	8
"ENSMUSG00000003282"	0	2	2	1	2	1
"ENSMUSG00000003299"	853	1020	894	853	797	750
"ENSMUSG00000003308"	214	245	158	211	188	157
"ENSMUSG00000003316"	518	451	338	414	464	397
"ENSMUSG00000003341"	0	0	0	0	1	0
"ENSMUSG00000003344"	50	49	38	48	69	35
"ENSMUSG00000003345"	59	104	44	57	42	65
"ENSMUSG00000003346"	220	323	155	284	200	144
"ENSMUSG00000003348"	101	112	74	73	43	91
"ENSMUSG00000003352"	48	29	30	25	46	28
"ENSMUSG00000003354"	19	1	11	4	19	9
"ENSMUSG00000003355"	111	325	119	253	106	239
"ENSMUSG00000003360"	288	432	287	350	236	339
